seed,binary codification,max layers,max convs per layer,layers,training secs,epochs,val_loss,val_iou,val_dice,val_dice crossentropy,val_accuracy,train_loss,train_iou,train_dice,train_dice crossentropy,train_accuracy
0,AAAAAAAAALTCZLS2GNZXAXGFK7VBUC6YPLYADMQ_192,4,2,3,445.9298833060002,15,0.5142306494712829,0.485769350528717,0.6534153378009796,0.3443534886837006,0.7988276672363281,,,,,
4,AAAAAAAAAAAAAAAAAD24A4AALQABXPSDGDAADVY_192,4,2,2,116.76967577299912,15,0.7950580394268036,0.2049419605731964,0.339464795589447,0.1834485375881195,0.1976801300048828,,,,,
12,AAAAAAAADW4SBYU6MFDWBMADO4AAHYQADKIAGXA_192,4,2,3,625.3336447850015,15,0.7941704440116882,0.2058295559883117,0.3409647107124328,0.1935749387741089,0.1990599060058593,,,,,
15,AAAAAAAAAAAAAAAAAAANYEABQCAANJXLFBIAD7A_192,4,2,2,92.51169774799928,15,0.1371870970726013,0.8628129029273987,0.9260602259635924,0.6758395183086395,0.9614439392089844,,,,,
19,AA2MYACHA2VKHOCGBQADIMAD6X7HZEQAGJB5AVA_192,4,2,4,188.45951609399992,15,0.7716547346115112,0.2283452653884887,0.3711020278930664,0.3071094942092895,0.2002528381347656,,,,,
22,AAAAAAAAAAAAAAAAAAAB2EAA64FHXLQAPDIABDA_192,4,2,2,311.95372612799974,15,0.2701469278335571,0.7298530721664429,0.8412630951404572,0.6314868795871734,0.9270624542236328,,,,,
28,AAAAAAAAAAAAAAAAAAANZ4AAWQAAJGQAPBIABRI_192,4,2,2,359.86925949500073,15,0.2549529802799224,0.7450470197200775,0.8516783654689789,0.6277737474441528,0.9330374908447264,,,,,
31,AAAAAAAAAAAAAAAAADJ6BUADIMAAIY5JPA3B2EQ_192,4,2,2,553.058407126,15,0.1273457503318786,0.8726542496681213,0.9314207530021668,0.6806867587566375,0.9627050018310548,,,,,
33,AA4G7PBPF6F2ZDVO4AAFJEABI6FZZYUAROAABRY_192,4,2,4,7558.604401638001,15,0.1252571213245391,0.8747428786754609,0.9329108047485352,0.7005393612384796,0.964435806274414,,,,,
43,AAAAAAAAAAAAAAAAACL6Y72DK6AAEDSB5JYACAA_192,4,2,2,2008.247396575,15,0.1236452209949493,0.8763547790050507,0.933587203025818,0.6941269481182099,0.9637664794921876,,,,,
48,F4PSJAOMRQFAP4DD4TDHYHQ7SOFC7NTBCKIAAVI_192,4,2,4,417.9111676040002,15,0.792934478521347,0.2070655214786529,0.3426683032512664,0.1771443915367126,0.2242266845703125,,,,,
51,AAAAAAAAAAAAAAAAAAAGGNGTO6TAMZRJV3IAAUY_192,4,2,2,195.91842247099976,15,0.1906160759925842,0.8093839240074158,0.8937075781822205,0.6616723108291626,0.950096435546875,,,,,
