binary codification,val_iou,num_parameters
LWLW2BOBXKHIZ4BZWEBPLEABOMABYDQANZKMBFQ_192,0.980181036889553,13049807
YT5R2AGEYADBRAAHTO6MLMABWBUL4OXZE3KMTAA_192,0.9793246138095856,9198037
AAAAAAAAAAD6JAA6BAAPC4TRKWYDUPXCTKYABBA_192,0.9015956938266754,358390
AAAAAAAAAAAAAAAAAM3G3EAAQSAAPIQACZIAHEQ_192,0.9013439178466796,2206685
AAAAAAAAAAAAAAAAAB3TKMABQMZIPHWC5A2ALVA_192,0.8229682120680809,278181
AAAAAAAAAAAAAAAAAAAE2MAAZQAB5GQACCIADRA_192,0.8222231161594391,312377
AAIUIACM72ULRAAIQAAM2XG5WKIIFYQAPDIAGQY_192,0.7440359812974929,2453431
DR4S2QXNN7RK7CSHSBOPJUAA2UFO4DQAHGAADRA_192,0.7382887935638428,1297107
AAAAAAAAAAAAAAAAADLDC5IMTQAAFCTD4AAAAVI_192,0.6655317413806915,71781
AAJUYAHQFCA6LD4KGQABJMADW4RLVPQACBDUYRQ_192,0.6529447615146637,2492477
KMHXYAGVYAAK5IFCQFOB6FTQIB5HQM4JNZIAD4Y_192,0.5864108765125274,1388903
3VD4IADUZQNQPE4NUQADOMABYH5MXZQAEA2UH4A_192,0.5825561773777008,1422934
AAAAAAAAAADYZAAEGQADLM2AQQZP7JR6PZQAHMQ_192,0.5021414315700531,18522374
AAAAAAAAA3TOJAA6EPJSGEAAKEJJYCQAOYTQ24A_192,0.4971175217628479,6267037
AAAAAAAAAK4LRYQEBAAEIPQUSYABZJV2DJYACMA_192,0.4007814225554466,3133603
AAAAAAAAAAALTKAP4NJR3UAA2WVNYN5272QABVI_192,0.3927687466144561,3898308
AAAAAAAAB6YLTOH2QQAMGNG5CA5CEYQACIH4PBY_192,0.3190019941329956,4884711
AAAAAAAAAAALTLQ2EU3WKUAA2EAAIMUBH2QADTA_192,0.2890910422801971,46770
AAAAAAAABW4IF7RHQAAM3EAA24EKRDROO2IAGDA_192,0.2566633665561676,4342882
AAAAAAAAAAAAAAAAANCRGEORYIAAFMQAGBT7BQQ_192,0.2551487657427788,2899
