seed,binary codification,max layers,max convs per layer,layers,training secs,epochs,loss,iou,dice,dice crossentropy,accuracy
N,IRIRKEKEPCHCFYRYR5I5IXKHKH5D5C7I7I7EPEI_192,4,2,4,12342.792745418,46,0.540464663388873,0.459535336611127,0.5927549306953517,0.4934207018203486,0.9602452683798836
0,AAAAAAAAALTCZLS2GNZXAXGFK7VBUC6YPLYADMQ_192,4,2,3,2112.984884370002,6,0.9344336738594204,0.0655663261405795,0.1171417689440106,0.0643034182598306,0.3577809254069118
1,AAAAAAAAAAAAAAAAAAAHCHGVQT4I7EQAFAHBI4Q_192,4,2,2,1746.475742620998,13,0.8411499823870511,0.1588500176129489,0.2630526849340653,0.3127639789565741,0.9059234461815476
2,AAAAAAAAAAAAAAAAAAADJ56LYPVY4A4KUZQAARY_192,4,2,2,4778.192312323998,28,0.8529506799252932,0.1470493200747068,0.2464637374216736,0.2373949971906901,0.8954338148406434
3,AAAAAAAAAAAAAAAAAAAF2MADYQABTZUZWZQABMA_192,4,2,2,6555.426138764997,42,0.7571763043302502,0.2428236956697498,0.371869148865804,0.3492854326039699,0.9303112331455722
4,AAAAAAAAAAAAAAAAAD24A4AALQABXPSDGDAADVY_192,4,2,2,542.1712110790031,6,0.938992070626668,0.0610079293733319,0.1092586396763414,0.0762317844744024,0.0612914337614037
5,L4CSYABB3IIOLOFEDAABBMAAQYAALFXDUBT4H5Y_192,4,2,4,2021.698624383004,35,0.8174685008374163,0.1825314991625837,0.2874966028463976,0.3351016896389437,0.9161434744349506
6,AAYQYABNEAB2L3RN4FDUKEABWYABZIQAN6IAHVQ_192,4,2,4,5930.602687486,38,0.7449697640163864,0.2550302359836136,0.3765878942817887,0.3810217516651745,0.9447684566115088
7,AAAAAAAAAABGBAA2HAADK4ABRQAA3BRANDAAHXA_192,4,2,3,2753.3666882630005,37,0.838120265069249,0.1618797349307509,0.2657744418738522,0.2979015017605917,0.9087976618847684
8,AAAAAAAAAAAAAAAAAEBBBUADIXRJ4LQAMAKMPEI_192,4,2,2,5032.367029769999,29,0.8310864885712914,0.1689135114287085,0.2771643567435309,0.3042428351537632,0.9276043538362712
9,AAAAAAAABYPQ76H3QEBWA4ADOE3EQMQAELQACBI_192,4,2,3,29273.492846152,31,0.8352221014254634,0.1647778985745366,0.2693130735666483,0.2704454121737457,0.91395096522171
30,6COFPAODAAAXR44GQ7DOYVYZ3QAAUB5J5Z7HCQA_192,4,2,4,5417.761069599,10,0.9428984870918424,0.0571015129081576,0.1026603760377034,0.0902861540508114,0.0572185464823226
31,AAAAAAAAAAAAAAAAADJ6BUADIMAAIY5JPA3B2EQ_192,4,2,2,11596.016635596,27,0.8602547949912303,0.1397452050087697,0.2371519028070894,0.2456945346191306,0.9035588524275464
32,AAAAAAAAAAAAAAAAAAACJMOA3QXBUZQAMZBUI4I_192,4,2,2,3136.4834949979995,40,0.7904228650726268,0.20957713492737315,0.33135269088807345,0.3611230510871912,0.9227455123213726
