,real_codification,n_params,val_iou
0,"[0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.3323333333333333, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.499, 0.09, 0.34, 0.9, 0.68, 0.34, 0.45, 0.34, 0.51, 0.68, 0.34, 0.76, 0.01, 0.45, 0.01, 0.76, 0.68, 0.23, 0.43, 0.01, 0.12, 0.34, 0.68, 0.68, 0.12, 0.51, 0.34, 0.57, 0.51, 0.76, 0.34, 0.01, 0.76, 0.01, 0.12, 0.34, 0.93, 0.68, 0.01, 0.84, 0.34, 0.57, 0.51, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.34, 0.68, 0.34]",[13831499.0],0.4514191230138143
1,"[0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.3323333333333333, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.499, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.3323333333333333, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.499, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.43, 0.01, 0.79, 0.34, 0.68, 0.68, 0.68, 0.34, 0.01, 0.79, 0.51, 0.84, 0.01, 0.79, 0.43, 0.68, 0.34, 0.34, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.51, 0.01, 0.01, 0.01, 0.93, 0.01, 0.68, 0.09, 0.68, 0.34]",[365769.0],0.8641686474283536
2,"[0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.3323333333333333, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.499, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.3323333333333333, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.499, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.18, 0.34, 0.23, 0.68, 0.43, 0.68, 0.34, 0.84, 0.01, 0.23, 0.51, 0.76, 0.34, 0.9, 0.43, 0.01, 0.01, 0.34, 0.68, 0.34, 0.68, 0.59, 0.68, 0.23, 0.01, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.09, 0.01, 0.57]",[248245.0],0.3126456687847773
3,"[0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.3323333333333333, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.499, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.3323333333333333, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.499, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.51, 0.68, 0.79, 0.68, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.84, 0.01, 0.79, 0.01, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.68, 0.68, 0.9, 0.68, 0.59, 0.68, 0.23, 0.34, 0.68, 0.23, 0.01, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.26, 0.68, 0.01]",[143985.0],0.7099217802286149
4,"[0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.3323333333333333, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.499, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.3323333333333333, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.499, 0.18, 0.68, 0.68, 0.68, 0.01, 0.12, 0.68, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.09, 0.34, 0.9, 0.01, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.76, 0.68, 0.57, 0.68, 0.26, 0.01, 0.45, 0.34, 0.01, 0.45, 0.01, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.43, 0.34, 0.57]",[859189.0],0.317454028626283
5,"[0.51, 0.68, 0.9, 0.09, 0.34, 0.34, 0.68, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.26, 0.01, 0.57, 0.01, 0.76, 0.01, 0.34, 0.09, 0.68, 0.34, 0.68, 0.43, 0.01, 0.68, 0.26, 0.01, 0.23, 0.01, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.09, 0.01, 0.34, 0.68, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.26, 0.01, 0.45, 0.01, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.26, 0.68, 0.34, 0.68, 0.43, 0.01, 0.57, 0.59, 0.01, 0.23, 0.01, 0.43, 0.68, 0.01, 0.84, 0.68, 0.57]",[1293931.0],0.8620820517341296
6,"[0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.68, 0.34, 0.01, 0.68, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.26, 0.68, 0.79, 0.51, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.43, 0.34, 0.34, 0.68, 0.76, 0.68, 0.12, 0.34, 0.68, 0.9, 0.01, 0.51, 0.01, 0.57, 0.59, 0.34, 0.79, 0.34, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.34, 0.68, 0.45, 0.01, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.93, 0.34, 0.79, 0.34, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.76, 0.68, 0.9, 0.51, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.84, 0.34, 0.45]",[14502317.0],0.9369732384880384
7,"[0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.3323333333333333, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.499, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.59, 0.68, 0.01, 0.34, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.76, 0.01, 0.57, 0.01, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.18, 0.34, 0.68, 0.68, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.34, 0.01, 0.9, 0.01, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.34, 0.68, 0.01, 0.68, 0.09, 0.01, 0.01, 0.76, 0.01, 0.45, 0.01, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.84, 0.34, 0.9]",[1363410.0],0.3214685772856077
8,"[0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.3323333333333333, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.499, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.3323333333333333, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.499, 0.59, 0.01, 0.34, 0.09, 0.01, 0.23, 0.34, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.76, 0.01, 0.68, 0.51, 0.68, 0.34, 0.79, 0.84, 0.01, 0.68, 0.68, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.68, 0.01, 0.01, 0.51, 0.59, 0.68, 0.12, 0.93, 0.34, 0.12]",[3760964.0],0.7196058377623558
9,"[0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.3323333333333333, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.499, 0.43, 0.01, 0.23, 0.93, 0.01, 0.57, 0.68, 0.84, 0.01, 0.57, 0.76, 0.68, 0.01, 0.01, 0.59, 0.01, 0.23, 0.34, 0.01, 0.12, 0.68, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.76, 0.68, 0.12, 0.01, 0.34, 0.68, 0.34, 0.59, 0.01, 0.45, 0.34, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.59, 0.34, 0.57, 0.01, 0.08233333333333333, 0.3323333333333333, 0.1101111111111111, 0.59, 0.01, 0.68]",[4245585.0],0.871142070988814
